Primary ID		M3.p[1]	M3.p[2]
1.75		0.068458	-0.0712915
1.73		0.0943653	-0.0970206
1.71		0.0890899	-0.0990421
1.69		0.0737414	-0.093564
1.67		0.0599138	-0.0743999
1.65		0.0563292	-0.0521391
1.63		0.0487117	-0.0509176
1.61		0.0470272	-0.0537166
1.59		0.0565295	-0.067
1.57		0.0070769	-0.0710714
1.55		-0.0181517	-0.0612565
1.53		-0.0105961	-0.0850265
1.51		0.0199444	-0.0854782
1.49		0.0651079	-0.0412723
1.47		0.0868169	-0.0678554
1.45		0.0743355	-0.0730751
1.43		0.096055	-0.0398217
1.41		0.0810366	-0.041214
1.39		0.0618922	-0.0782414
1.37		0.0259508	-0.0669041
1.35		0.0377307	-0.0388907
1.33		0.0527408	0.0242537
1.31		0.0667372	-0.0102134
1.29		0.0221282	-0.0671998
1.27		0.0258254	-0.0528891
1.25		0.0587377	-0.0432431
1.23		0.0741207	-0.00599996
1.21		0.062973	-0.00898336
1.19		0.0867197	-0.0108162
1.17		0.0603798	0.0249503
1.15		0.037234	0.0272529
1.13		0.0439044	0.0112312
1.11		0.0174053	-0.0656438
1.09		0.0249711	-0.0568572
1.07		-0.00786204	-0.052343
1.05		-0.01725	-0.095974
1.03		0.0510778	-0.111614
1.01		0.0747551	-0.070826
0.99		0.0898135	-0.0581114
0.97		0.0919554	-0.0771118
0.95		0.0887355	-0.0931032
0.93		0.0798297	-0.105377
0.91		0.0408253	-0.124616
0.89		-0.0203346	-0.0778676
0.87		-0.0210096	-0.0716122
0.85		-0.0237683	-0.0960598
0.83		-0.0231221	-0.0869381
0.81		0.00660882	-0.055117
0.79		-0.000195143	-0.0577568
0.77		0.00213364	-0.0696725
0.75		0.0299977	-0.0755749
0.73		0.0264671	-0.059538
0.71		0.0627086	-0.059403
0.69		0.0222557	-0.055295
0.67		0.0330058	-0.0674335
0.65		0.0509458	-0.048503
0.63		0.0339012	-0.00659023
0.61		0.0200443	-0.0125371
0.59		0.00811415	-0.016088
0.57		-0.00232668	-0.026345
0.55		0.043401	0.0194198
0.53		0.0379858	0.0160464
0.51		0.0100144	-0.0141427
0.49		0.0196846	0.000895608
0.47		-0.0215053	0.0091802
0.45		-0.0250969	0.0129598
0.43		0.00537479	0.0119862
0.41		0.00365881	-0.000710741
0.39		-0.0248316	0.0216467
0.37		-0.00545701	0.0061181
0.35		-0.0165249	0.0222124
0.33		-0.0134706	0.0151786
0.31		-0.00193634	-0.00125649
0.29		-0.00989112	-0.00242681
0.27		-0.00565968	0.00323387
0.25		-0.0174677	0.0124372
0.23		-0.00719434	0.0161657
0.21		-0.00292596	-0.0066574
0.19		-0.0106101	0.0251289
0.17		-0.00556265	0.0140961
0.15		-0.00406859	0.0016189
0.13		-0.00549679	0.00526153
0.11		-0.00552506	0.0046674
0.09		-0.0133491	0.0132589
0.07		-0.00698565	0.0109687
0.05		0.00322388	0.0022515
0.03		-0.00341314	0.0106056
0.01		0.00747508	0.00855084
